"eval/step","Llama-Guard-3-8B_k85q895o-RANK_0 - _step","Llama-Guard-3-8B_k85q895o-RANK_0 - _step__MIN","Llama-Guard-3-8B_k85q895o-RANK_0 - _step__MAX","Llama-Guard-3-8B_k85q895o-RANK_0 - eval/MCPenv_rewards","Llama-Guard-3-8B_k85q895o-RANK_0 - eval/MCPenv_rewards__MIN","Llama-Guard-3-8B_k85q895o-RANK_0 - eval/MCPenv_rewards__MAX","Qwen3Guard-Gen-4B_bhaiyoal-RANK_0 - _step","Qwen3Guard-Gen-4B_bhaiyoal-RANK_0 - _step__MIN","Qwen3Guard-Gen-4B_bhaiyoal-RANK_0 - _step__MAX","Qwen3Guard-Gen-4B_bhaiyoal-RANK_0 - eval/MCPenv_rewards","Qwen3Guard-Gen-4B_bhaiyoal-RANK_0 - eval/MCPenv_rewards__MIN","Qwen3Guard-Gen-4B_bhaiyoal-RANK_0 - eval/MCPenv_rewards__MAX","DeepSeek-R1-0528-Qwen3-8B_g77r37mp-RANK_0 - _step","DeepSeek-R1-0528-Qwen3-8B_g77r37mp-RANK_0 - _step__MIN","DeepSeek-R1-0528-Qwen3-8B_g77r37mp-RANK_0 - _step__MAX","DeepSeek-R1-0528-Qwen3-8B_g77r37mp-RANK_0 - eval/MCPenv_rewards","DeepSeek-R1-0528-Qwen3-8B_g77r37mp-RANK_0 - eval/MCPenv_rewards__MIN","DeepSeek-R1-0528-Qwen3-8B_g77r37mp-RANK_0 - eval/MCPenv_rewards__MAX","Llama-3.1-8B-Instruct_2wjp0674-RANK_0 - _step","Llama-3.1-8B-Instruct_2wjp0674-RANK_0 - _step__MIN","Llama-3.1-8B-Instruct_2wjp0674-RANK_0 - _step__MAX","Llama-3.1-8B-Instruct_2wjp0674-RANK_0 - eval/MCPenv_rewards","Llama-3.1-8B-Instruct_2wjp0674-RANK_0 - eval/MCPenv_rewards__MIN","Llama-3.1-8B-Instruct_2wjp0674-RANK_0 - eval/MCPenv_rewards__MAX","Qwen3-4B-Instruct-2507_rfstries-RANK_0 - _step","Qwen3-4B-Instruct-2507_rfstries-RANK_0 - _step__MIN","Qwen3-4B-Instruct-2507_rfstries-RANK_0 - _step__MAX","Qwen3-4B-Instruct-2507_rfstries-RANK_0 - eval/MCPenv_rewards","Qwen3-4B-Instruct-2507_rfstries-RANK_0 - eval/MCPenv_rewards__MIN","Qwen3-4B-Instruct-2507_rfstries-RANK_0 - eval/MCPenv_rewards__MAX"
"0","0","0","0","0.5010615711252654","0.5010615711252654","0.5010615711252654","0","0","0","0.5360934182590233","0.5360934182590233","0.5360934182590233","0","0","0","0.5467091295116773","0.5467091295116773","0.5467091295116773","0","0","0","0.5222929936305732","0.5222929936305732","0.5222929936305732","0","0","0","0.5806794055201698","0.5806794055201698","0.5806794055201698"
"19","81","81","81","0.5010615711252654","0.5010615711252654","0.5010615711252654","81","81","81","0.5339702760084926","0.5339702760084926","0.5339702760084926","81","81","81","0.5456475583864119","0.5456475583864119","0.5456475583864119","81","81","81","0.5318471337579618","0.5318471337579618","0.5318471337579618","81","81","81","0.6072186836518046","0.6072186836518046","0.6072186836518046"
"39","162","162","162","0.5074309978768577","0.5074309978768577","0.5074309978768577","162","162","162","0.5456475583864119","0.5456475583864119","0.5456475583864119","163","163","163","0.5636942675159236","0.5636942675159236","0.5636942675159236","162","162","162","0.5360934182590233","0.5360934182590233","0.5360934182590233","162","162","162","0.5934182590233545","0.5934182590233545","0.5934182590233545"
"59","243","243","243","0.5445859872611465","0.5445859872611465","0.5445859872611465","243","243","243","0.5456475583864119","0.5456475583864119","0.5456475583864119","243","243","243","0.5658174097664543","0.5658174097664543","0.5658174097664543","243","243","243","0.5573248407643312","0.5573248407643312","0.5573248407643312","243","243","243","0.60828025477707","0.60828025477707","0.60828025477707"
"79","324","324","324","0.5859872611464968","0.5859872611464968","0.5859872611464968","324","324","324","0.5859872611464968","0.5859872611464968","0.5859872611464968","324","324","324","0.5573248407643312","0.5573248407643312","0.5573248407643312","324","324","324","0.5912951167728238","0.5912951167728238","0.5912951167728238","324","324","324","0.589171974522293","0.589171974522293","0.589171974522293"
"99","405","405","405","0.6093418259023354","0.6093418259023354","0.6093418259023354","406","406","406","0.5997876857749469","0.5997876857749469","0.5997876857749469","405","405","405","0.5721868365180467","0.5721868365180467","0.5721868365180467","405","405","405","0.6263269639065817","0.6263269639065817","0.6263269639065817","405","405","405","0.5987261146496815","0.5987261146496815","0.5987261146496815"
"119","486","486","486","0.6804670912951167","0.6804670912951167","0.6804670912951167","486","486","486","0.6316348195329087","0.6316348195329087","0.6316348195329087","486","486","486","0.578556263269639","0.578556263269639","0.578556263269639","486","486","486","0.6464968152866242","0.6464968152866242","0.6464968152866242","486","486","486","0.6050955414012739","0.6050955414012739","0.6050955414012739"
"139","567","567","567","0.7430997876857749","0.7430997876857749","0.7430997876857749","567","567","567","0.6305732484076433","0.6305732484076433","0.6305732484076433","567","567","567","0.6019108280254777","0.6019108280254777","0.6019108280254777","567","567","567","0.6719745222929936","0.6719745222929936","0.6719745222929936","567","567","567","0.5987261146496815","0.5987261146496815","0.5987261146496815"
"159","648","648","648","0.7473460721868365","0.7473460721868365","0.7473460721868365","648","648","648","0.6507430997876857","0.6507430997876857","0.6507430997876857","648","648","648","0.6050955414012739","0.6050955414012739","0.6050955414012739","648","648","648","0.6910828025477707","0.6910828025477707","0.6910828025477707","648","648","648","0.6114649681528662","0.6114649681528662","0.6114649681528662"
"179","729","729","729","0.7632696390658175","0.7632696390658175","0.7632696390658175","729","729","729","0.6157112526539278","0.6157112526539278","0.6157112526539278","729","729","729","0.6231422505307855","0.6231422505307855","0.6231422505307855","729","729","729","0.7112526539278131","0.7112526539278131","0.7112526539278131","729","729","729","0.6443736730360934","0.6443736730360934","0.6443736730360934"
