"eval/step","DeepSeek-R1-0528-Qwen3-8B_1bf7slyn-RANK_0 - _step","DeepSeek-R1-0528-Qwen3-8B_1bf7slyn-RANK_0 - _step__MIN","DeepSeek-R1-0528-Qwen3-8B_1bf7slyn-RANK_0 - _step__MAX","DeepSeek-R1-0528-Qwen3-8B_1bf7slyn-RANK_0 - eval/MCPenv_rewards","DeepSeek-R1-0528-Qwen3-8B_1bf7slyn-RANK_0 - eval/MCPenv_rewards__MIN","DeepSeek-R1-0528-Qwen3-8B_1bf7slyn-RANK_0 - eval/MCPenv_rewards__MAX","Llama-Guard-3-8B_qquvrbdq-RANK_0 - _step","Llama-Guard-3-8B_qquvrbdq-RANK_0 - _step__MIN","Llama-Guard-3-8B_qquvrbdq-RANK_0 - _step__MAX","Llama-Guard-3-8B_qquvrbdq-RANK_0 - eval/MCPenv_rewards","Llama-Guard-3-8B_qquvrbdq-RANK_0 - eval/MCPenv_rewards__MIN","Llama-Guard-3-8B_qquvrbdq-RANK_0 - eval/MCPenv_rewards__MAX","Qwen3Guard-Gen-4B_6z7128oj-RANK_0 - _step","Qwen3Guard-Gen-4B_6z7128oj-RANK_0 - _step__MIN","Qwen3Guard-Gen-4B_6z7128oj-RANK_0 - _step__MAX","Qwen3Guard-Gen-4B_6z7128oj-RANK_0 - eval/MCPenv_rewards","Qwen3Guard-Gen-4B_6z7128oj-RANK_0 - eval/MCPenv_rewards__MIN","Qwen3Guard-Gen-4B_6z7128oj-RANK_0 - eval/MCPenv_rewards__MAX","Llama-3.1-8B-Instruct_ojet71dh-RANK_0 - _step","Llama-3.1-8B-Instruct_ojet71dh-RANK_0 - _step__MIN","Llama-3.1-8B-Instruct_ojet71dh-RANK_0 - _step__MAX","Llama-3.1-8B-Instruct_ojet71dh-RANK_0 - eval/MCPenv_rewards","Llama-3.1-8B-Instruct_ojet71dh-RANK_0 - eval/MCPenv_rewards__MIN","Llama-3.1-8B-Instruct_ojet71dh-RANK_0 - eval/MCPenv_rewards__MAX","Qwen3-4B-Instruct-2507_0b68908l-RANK_0 - _step","Qwen3-4B-Instruct-2507_0b68908l-RANK_0 - _step__MIN","Qwen3-4B-Instruct-2507_0b68908l-RANK_0 - _step__MAX","Qwen3-4B-Instruct-2507_0b68908l-RANK_0 - eval/MCPenv_rewards","Qwen3-4B-Instruct-2507_0b68908l-RANK_0 - eval/MCPenv_rewards__MIN","Qwen3-4B-Instruct-2507_0b68908l-RANK_0 - eval/MCPenv_rewards__MAX"
"0","0","0","0","0.5467091295116773","0.5467091295116773","0.5467091295116773","0","0","0","0.5138004246284501","0.5138004246284501","0.5138004246284501","0","0","0","0.5721868365180467","0.5721868365180467","0.5721868365180467","0","0","0","0.5796178343949044","0.5796178343949044","0.5796178343949044","0","0","0","0.6093418259023354","0.6093418259023354","0.6093418259023354"
"19","81","81","81","0.5382165605095541","0.5382165605095541","0.5382165605095541","100","100","100","0.5222929936305732","0.5222929936305732","0.5222929936305732","81","81","81","0.5828025477707006","0.5828025477707006","0.5828025477707006","81","81","81","0.5690021231422505","0.5690021231422505","0.5690021231422505","81","81","81","0.6072186836518046","0.6072186836518046","0.6072186836518046"
"39","162","162","162","0.5902335456475584","0.5902335456475584","0.5902335456475584","162","162","162","0.535031847133758","0.535031847133758","0.535031847133758","162","162","162","0.5923566878980892","0.5923566878980892","0.5923566878980892","162","162","162","0.5658174097664543","0.5658174097664543","0.5658174097664543","162","162","162","0.6029723991507431","0.6029723991507431","0.6029723991507431"
"59","243","243","243","0.5435244161358811","0.5435244161358811","0.5435244161358811","243","243","243","0.5987261146496815","0.5987261146496815","0.5987261146496815","243","243","243","0.578556263269639","0.578556263269639","0.578556263269639","243","243","243","0.5679405520169851","0.5679405520169851","0.5679405520169851","243","243","243","0.6008492569002123","0.6008492569002123","0.6008492569002123"
"79","324","324","324","0.5573248407643312","0.5573248407643312","0.5573248407643312","324","324","324","0.6496815286624203","0.6496815286624203","0.6496815286624203","324","324","324","0.5902335456475584","0.5902335456475584","0.5902335456475584","324","324","324","0.5796178343949044","0.5796178343949044","0.5796178343949044","324","324","324","0.5934182590233545","0.5934182590233545","0.5934182590233545"
"99","405","405","405","0.5636942675159236","0.5636942675159236","0.5636942675159236","405","405","405","0.667728237791932","0.667728237791932","0.667728237791932","405","405","405","0.5912951167728238","0.5912951167728238","0.5912951167728238","405","405","405","0.5859872611464968","0.5859872611464968","0.5859872611464968","405","405","405","0.6072186836518046","0.6072186836518046","0.6072186836518046"
"119","486","486","486","0.5753715498938429","0.5753715498938429","0.5753715498938429","486","486","486","0.7016985138004246","0.7016985138004246","0.7016985138004246","486","486","486","0.6316348195329087","0.6316348195329087","0.6316348195329087","486","486","486","0.6114649681528662","0.6114649681528662","0.6114649681528662","486","486","486","0.5923566878980892","0.5923566878980892","0.5923566878980892"
"139","567","567","567","0.6050955414012739","0.6050955414012739","0.6050955414012739","567","567","567","0.7197452229299363","0.7197452229299363","0.7197452229299363","567","567","567","0.6369426751592356","0.6369426751592356","0.6369426751592356","534","534","534","0.7133757961783439","0.7133757961783439","0.7133757961783439","567","567","567","0.6072186836518046","0.6072186836518046","0.6072186836518046"
"159","669","669","669","0.6146496815286624","0.6146496815286624","0.6146496815286624","648","648","648","0.7346072186836518","0.7346072186836518","0.7346072186836518","648","648","648","0.6263269639065817","0.6263269639065817","0.6263269639065817","648","648","648","0.7452229299363057","0.7452229299363057","0.7452229299363057","648","648","648","0.6475583864118896","0.6475583864118896","0.6475583864118896"
"179","729","729","729","0.638004246284501","0.638004246284501","0.638004246284501","729","729","729","0.7388535031847133","0.7388535031847133","0.7388535031847133","729","729","729","0.6326963906581741","0.6326963906581741","0.6326963906581741","789","789","789","0.7133757961783439","0.7133757961783439","0.7133757961783439","729","729","729","0.6316348195329087","0.6316348195329087","0.6316348195329087"
