Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
Qwen3-4B-Instruct,27,9,216,214,466,0.52,0.75,0.11
Llama3.1-8B-Instruct,66,37,199,164,466,0.49,0.64,0.25
DeepSeek-R1-0528-Qwen3-8B,66,38,169,172,445,0.53,0.63,0.28
sft_DeepSeek-R1-0528-Qwen3-8B,215,226,10,18,469,0.50,0.49,0.96
Qwen3Guard-Gen-4B,6,1,221,238,466,0.52,0.86,0.03
sft_Qwen3Guard-Gen-4B,231,224,6,8,469,0.51,0.51,0.97
Llama-Guard-3-8B,0,0,0,0,0,0.00,0.00,0.00
sft_Llama-Guard-3-8B,238,215,1,15,469,0.54,0.53,1.00
sft_Llama3.1-8B-Instruct,217,225,3,26,471,0.52,0.49,0.99
sft_Qwen3-4B-Instruct,231,216,9,14,470,0.52,0.52,0.96
grpo_Qwen3-4B-Instruct,218,105,26,120,469,0.72,0.67,0.89
grpo_Llama3.1-8B-Instruct,220,79,19,151,469,0.79,0.74,0.92
grpo_DeepSeek-R1-0528-Qwen3-8B,200,158,30,81,469,0.60,0.56,0.87
grpo_Qwen3Guard-Gen-4B,210,73,30,158,471,0.78,0.74,0.88
grpo_Llama-Guard-3-8B,212,32,19,205,468,0.89,0.87,0.92
