Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
claude-3-7-sonnet-20250219,178,118,56,118,470,0.63,0.60,0.76
doubao-1-5-pro-32k-250115,118,32,136,185,471,0.64,0.79,0.46
glm-4.5v,25,2,235,209,471,0.50,0.93,0.10
gemini-2.5-pro,191,138,33,103,465,0.63,0.58,0.85
grok-4,252,212,0,7,471,0.55,0.54,1.00
gpt-4o,78,26,148,205,457,0.62,0.75,0.35
gpt-5-2025-08-07,227,82,39,121,469,0.74,0.73,0.85
deepseek-r1,161,57,84,169,471,0.70,0.74,0.66
kimi-k2-0711-preview,176,67,86,141,470,0.67,0.72,0.67
o3-2025-04-16,182,126,46,112,466,0.63,0.59,0.80
