Model,Risk_Type,TP,FP,FN
claude-3-7-sonnet-20250219,Cache or Local State Pollution,11,4,17
claude-3-7-sonnet-20250219,Delayed or Timed Trigger Attacks,2,1,25
claude-3-7-sonnet-20250219,Sensitive Data Exfiltration,17,39,2
claude-3-7-sonnet-20250219,Malicious Code Execution,6,12,14
claude-3-7-sonnet-20250219,Denial-of-Service,12,5,9
claude-3-7-sonnet-20250219,Privilege Escalation,23,21,12
claude-3-7-sonnet-20250219,Persistence via Backdoor Implantation,18,64,5
claude-3-7-sonnet-20250219,Log Explosion Attacks,16,9,8
claude-3-7-sonnet-20250219,Covert Channel Attack,11,23,14
doubao-1-5-pro-32k-250115,Log Explosion Attacks,8,1,23
doubao-1-5-pro-32k-250115,Delayed or Timed Trigger Attacks,1,0,24
doubao-1-5-pro-32k-250115,Persistence via Backdoor Implantation,13,26,8
doubao-1-5-pro-32k-250115,Denial-of-Service,5,3,18
doubao-1-5-pro-32k-250115,Privilege Escalation,16,10,11
doubao-1-5-pro-32k-250115,Malicious Code Execution,7,13,19
doubao-1-5-pro-32k-250115,Cache or Local State Pollution,8,5,18
doubao-1-5-pro-32k-250115,Covert Channel Attack,5,1,24
doubao-1-5-pro-32k-250115,Sensitive Data Exfiltration,8,18,14
glm-4.5v,Log Explosion Attacks,1,0,21
glm-4.5v,Malicious Code Execution,3,4,29
glm-4.5v,Cache or Local State Pollution,0,0,24
glm-4.5v,Privilege Escalation,1,1,18
glm-4.5v,Sensitive Data Exfiltration,1,10,35
glm-4.5v,Covert Channel Attack,0,4,24
glm-4.5v,Persistence via Backdoor Implantation,0,1,30
glm-4.5v,Delayed or Timed Trigger Attacks,0,0,27
glm-4.5v,Denial-of-Service,0,0,18
gemini-2.5-pro,Delayed or Timed Trigger Attacks,3,3,27
gemini-2.5-pro,Cache or Local State Pollution,8,1,15
gemini-2.5-pro,Privilege Escalation,26,14,3
gemini-2.5-pro,Malicious Code Execution,9,20,13
gemini-2.5-pro,Sensitive Data Exfiltration,22,63,1
gemini-2.5-pro,Log Explosion Attacks,19,13,5
gemini-2.5-pro,Covert Channel Attack,10,5,12
gemini-2.5-pro,Persistence via Backdoor Implantation,18,75,3
gemini-2.5-pro,Denial-of-Service,13,7,6
grok-4,Persistence via Backdoor Implantation,24,108,0
grok-4,Privilege Escalation,18,11,8
grok-4,Malicious Code Execution,9,17,23
grok-4,Covert Channel Attack,15,12,9
grok-4,Cache or Local State Pollution,12,5,12
grok-4,Delayed or Timed Trigger Attacks,0,1,33
grok-4,Log Explosion Attacks,29,16,1
grok-4,Denial-of-Service,32,18,4
grok-4,Sensitive Data Exfiltration,23,114,0
gpt-4o,Persistence via Backdoor Implantation,12,22,14
gpt-4o,Covert Channel Attack,9,1,17
gpt-4o,Log Explosion Attacks,3,2,29
gpt-4o,Denial-of-Service,0,0,14
gpt-4o,Cache or Local State Pollution,0,1,21
gpt-4o,Privilege Escalation,12,4,13
gpt-4o,Delayed or Timed Trigger Attacks,1,0,18
gpt-4o,Malicious Code Execution,4,3,20
gpt-4o,Sensitive Data Exfiltration,11,19,12
gpt-5-2025-08-07,Sensitive Data Exfiltration,28,81,1
gpt-5-2025-08-07,Delayed or Timed Trigger Attacks,3,3,15
gpt-5-2025-08-07,Cache or Local State Pollution,15,1,19
gpt-5-2025-08-07,Log Explosion Attacks,16,2,4
gpt-5-2025-08-07,Malicious Code Execution,11,15,24
gpt-5-2025-08-07,Privilege Escalation,30,10,9
gpt-5-2025-08-07,Persistence via Backdoor Implantation,23,45,3
gpt-5-2025-08-07,Denial-of-Service,17,2,7
gpt-5-2025-08-07,Covert Channel Attack,7,0,19
deepseek-r1,Persistence via Backdoor Implantation,14,28,9
deepseek-r1,Denial-of-Service,10,14,14
deepseek-r1,Sensitive Data Exfiltration,8,44,6
deepseek-r1,Cache or Local State Pollution,8,1,18
deepseek-r1,Covert Channel Attack,5,1,26
deepseek-r1,Delayed or Timed Trigger Attacks,0,0,33
deepseek-r1,Privilege Escalation,26,18,5
deepseek-r1,Log Explosion Attacks,3,1,16
deepseek-r1,Malicious Code Execution,7,30,19
kimi-k2-0711-preview,Malicious Code Execution,23,47,10
kimi-k2-0711-preview,Cache or Local State Pollution,5,1,27
kimi-k2-0711-preview,Privilege Escalation,9,2,19
kimi-k2-0711-preview,Log Explosion Attacks,16,3,13
kimi-k2-0711-preview,Delayed or Timed Trigger Attacks,5,2,32
kimi-k2-0711-preview,Sensitive Data Exfiltration,18,30,3
kimi-k2-0711-preview,Persistence via Backdoor Implantation,3,2,31
kimi-k2-0711-preview,Denial-of-Service,7,3,19
kimi-k2-0711-preview,Covert Channel Attack,2,65,10
o3-2025-04-16,Cache or Local State Pollution,4,0,27
o3-2025-04-16,Sensitive Data Exfiltration,20,130,2
o3-2025-04-16,Malicious Code Execution,8,17,12
o3-2025-04-16,Privilege Escalation,20,16,6
o3-2025-04-16,Denial-of-Service,5,6,19
o3-2025-04-16,Covert Channel Attack,5,1,16
o3-2025-04-16,Log Explosion Attacks,8,1,13
o3-2025-04-16,Persistence via Backdoor Implantation,18,47,3
o3-2025-04-16,Delayed or Timed Trigger Attacks,0,2,30
