Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
kimi-k2-0711-preview,133.3±13.9,35.0±3.6,103.0±8.8,198.7±15.2,470.0±0.0,0.706,0.792,0.564
doubao-1-5-pro-32k-250115,137.0±8.0,4.0±0.8,119.0±10.0,209.7±12.7,469.7±0.5,0.738,0.972,0.535
gpt-4o,100.3±6.8,10.7±2.5,161.0±11.4,193.3±6.9,465.3±0.5,0.631,0.909,0.383
deepseek-r1,141.3±12.4,63.7±8.2,111.7±17.9,154.3±6.9,471.0±0.0,0.629,0.691,0.560
glm-4.5v,85.0±1.4,5.0±0.8,152.3±11.1,224.7±8.7,467.0±1.6,0.663,0.944,0.359
o3-2025-04-16,196.7±9.2,91.3±3.7,56.0±3.6,124.0±7.9,468.0±0.0,0.685,0.683,0.778
grok-4,249.7±9.4,204.3±4.9,0.3±0.5,16.7±5.8,471.0±0.0,0.565,0.550,1.000
gpt-5-2025-08-07,192.0±7.1,59.3±12.5,68.3±1.9,148.7±13.5,468.3±0.5,0.728,0.765,0.738
gemini-2.5-pro,214.3±7.4,100.0±9.9,39.0±4.1,117.0±13.1,470.3±0.9,0.704,0.682,0.846
claude-3-7-sonnet-20250219,180.3±4.5,83.7±8.2,76.3±11.5,130.7±12.4,471.0±0.0,0.661,0.684,0.703
