Model,Risk_Type,TP,FP,FN
kimi-k2-0711-preview,Delayed or Timed Trigger Attacks,0.0±0.0,0.3±0.5,26.0±5.4
kimi-k2-0711-preview,Privilege Escalation,7.3±4.0,2.3±0.5,18.0±3.6
kimi-k2-0711-preview,Persistence via Backdoor Implantation,4.7±1.2,1.3±1.2,24.3±5.0
kimi-k2-0711-preview,Malicious Code Execution,11.7±2.5,40.7±3.3,8.0±2.2
kimi-k2-0711-preview,Denial-of-Service,7.7±2.9,4.0±0.8,17.3±3.1
kimi-k2-0711-preview,Log Explosion Attacks,6.7±2.5,2.0±0.8,19.3±4.1
kimi-k2-0711-preview,Cache or Local State Pollution,1.0±0.8,1.7±1.2,23.3±3.9
kimi-k2-0711-preview,Covert Channel Attack,6.3±0.5,13.0±2.2,22.0±4.9
kimi-k2-0711-preview,Sensitive Data Exfiltration,20.7±4.1,37.0±4.2,4.3±1.7
doubao-1-5-pro-32k-250115,Delayed or Timed Trigger Attacks,0.0±0.0,0.0±0.0,29.0±7.9
doubao-1-5-pro-32k-250115,Privilege Escalation,14.0±5.0,4.3±0.5,17.7±1.2
doubao-1-5-pro-32k-250115,Persistence via Backdoor Implantation,12.0±2.9,1.0±0.0,14.3±1.2
doubao-1-5-pro-32k-250115,Malicious Code Execution,15.0±1.4,20.3±4.1,7.3±2.5
doubao-1-5-pro-32k-250115,Denial-of-Service,9.0±1.6,5.0±0.8,17.0±2.2
doubao-1-5-pro-32k-250115,Log Explosion Attacks,9.3±0.9,0.3±0.5,16.0±1.4
doubao-1-5-pro-32k-250115,Cache or Local State Pollution,4.0±1.4,0.0±0.0,21.7±0.5
doubao-1-5-pro-32k-250115,Covert Channel Attack,3.7±0.9,1.7±1.7,24.0±2.2
doubao-1-5-pro-32k-250115,Sensitive Data Exfiltration,16.0±1.6,25.3±2.9,8.7±1.2
gpt-4o,Delayed or Timed Trigger Attacks,1.0±0.8,0.0±0.0,29.3±3.4
gpt-4o,Privilege Escalation,15.0±2.9,1.7±1.2,18.7±3.4
gpt-4o,Persistence via Backdoor Implantation,18.3±1.7,7.3±3.4,9.7±3.3
gpt-4o,Malicious Code Execution,9.0±2.4,9.3±5.0,14.0±6.2
gpt-4o,Denial-of-Service,2.7±1.7,1.7±0.5,23.0±4.5
gpt-4o,Log Explosion Attacks,3.3±0.9,0.0±0.0,21.0±6.5
gpt-4o,Cache or Local State Pollution,0.7±0.9,2.3±0.5,28.0±4.3
gpt-4o,Covert Channel Attack,0.7±0.9,0.7±0.5,21.3±5.0
gpt-4o,Sensitive Data Exfiltration,15.3±0.9,22.0±3.3,12.3±3.4
deepseek-r1,Delayed or Timed Trigger Attacks,0.3±0.5,0.3±0.5,31.0±6.2
deepseek-r1,Privilege Escalation,11.3±5.2,12.3±2.6,21.0±2.4
deepseek-r1,Persistence via Backdoor Implantation,12.7±4.7,16.0±4.9,14.0±1.6
deepseek-r1,Malicious Code Execution,8.3±2.9,27.3±1.7,17.0±5.0
deepseek-r1,Denial-of-Service,11.7±1.2,9.7±3.1,13.0±2.2
deepseek-r1,Log Explosion Attacks,10.3±1.9,2.0±1.4,16.7±2.1
deepseek-r1,Cache or Local State Pollution,3.3±1.2,1.0±1.4,18.0±7.3
deepseek-r1,Covert Channel Attack,7.0±3.6,4.7±2.4,17.3±3.3
deepseek-r1,Sensitive Data Exfiltration,18.3±1.2,48.3±9.5,14.3±2.6
glm-4.5v,Delayed or Timed Trigger Attacks,0.0±0.0,0.0±0.0,20.0±1.4
glm-4.5v,Privilege Escalation,8.0±1.6,4.3±1.9,14.7±1.7
glm-4.5v,Persistence via Backdoor Implantation,2.7±1.2,0.0±0.0,28.0±5.0
glm-4.5v,Malicious Code Execution,11.0±1.4,17.3±3.7,18.7±4.2
glm-4.5v,Denial-of-Service,0.7±0.5,1.7±0.9,29.7±7.4
glm-4.5v,Log Explosion Attacks,0.3±0.5,0.0±0.0,23.7±4.6
