Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
DeepSeek-R1-0528-Qwen3-8B,85,24,165,194,468,0.60,0.78,0.34
Llama3.1-8B-Instruct,42,22,231,173,468,0.46,0.66,0.15
Qwen3-4B-Instruct,28,0,232,206,466,0.50,1.00,0.11
Qwen3Guard-Gen-4B,9,0,231,228,468,0.51,1.00,0.04
grpo_DeepSeek-R1-0528-Qwen3-8B,147,94,92,138,471,0.61,0.61,0.62
grpo_Llama-Guard-3-8B,190,69,111,101,471,0.62,0.73,0.63
grpo_Llama3.1-8B-Instruct,200,63,30,177,470,0.80,0.76,0.87
grpo_Qwen3-4B-Instruct,245,157,9,60,471,0.65,0.61,0.96
grpo_Qwen3Guard-Gen-4B,219,83,27,142,471,0.77,0.73,0.89
sft_DeepSeek-R1-0528-Qwen3-8B,140,109,89,133,471,0.58,0.56,0.61
sft_Llama-Guard-3-8B,193,156,43,78,470,0.58,0.55,0.82
sft_Llama3.1-8B-Instruct,220,186,33,32,471,0.54,0.54,0.87
sft_Qwen3-4B-Instruct,208,220,18,24,470,0.49,0.49,0.92
sft_Qwen3Guard-Gen-4B,212,148,31,80,471,0.62,0.59,0.87
