Model,TP,FP,FN,TN,Accuracy,Precision,Recall
Qwen2.5-7B-Instruct,0,0,616,584,0.4866666666666667,0.0,0.0
gpt-4o,343,7,256,543,0.7711053089643168,0.98,0.5726210350584308
gpt-5,563,2,107,535,0.9096934548467275,0.9964601769911504,0.8402985074626865
deepseek-v3,341,5,316,548,0.7347107438016529,0.9855491329479769,0.5190258751902588
Qwen2.5-7B-Instruct_SFT,617,0,0,580,1.0,1.0,1.0
Qwen2.5-7B-Instruct_DPO,507,1,87,601,0.9264214046822743,0.9980314960629921,0.8535353535353535
qwen3-235b,149,0,483,561,0.595138306789606,1.0,0.23575949367088608
gemini-2.5,378,1,243,583,0.7975103734439835,0.9973614775725593,0.6086956521739131
claude-3.5,432,0,270,497,0.7748123436196831,1.0,0.6153846153846154
doubao-1.5,99,3,546,552,0.5425,0.9705882352941176,0.15348837209302327
