Model,TP,FP,FN,TN,Accuracy,Precision,Recall
Qwen3-4B-Instruct,27,9,216,214,0.5171673819742489,0.75,0.1111111111111111
Llama3.1-8B-Instruct,66,39,199,162,0.4892703862660944,0.6285714285714286,0.2490566037735849
DeepSeek-R1-0528-Qwen3-8B,151,75,84,135,0.6426966292134831,0.668141592920354,0.6425531914893617
sft_DeepSeek-R1-0528-Qwen3-8B,216,228,9,16,0.4946695095948827,0.4864864864864865,0.96
grpo_DeepSeek-R1-0528-Qwen3-8B,246,204,1,15,0.5600858369098712,0.5466666666666666,0.9959514170040485
Qwen3-4B-Thinking-2507,139,37,94,199,0.720682302771855,0.7897727272727273,0.5965665236051502
sft_Qwen3-4B-Thinking-2507,2,0,263,195,0.4282608695652174,1.0,0.007547169811320755
grpo_Qwen3-4B-Thinking-2507,211,185,20,53,0.5628997867803838,0.5328282828282829,0.9134199134199135
Qwen3Guard-Gen-4B,8,1,219,238,0.5278969957081545,0.8888888888888888,0.03524229074889868
sft_Qwen3Guard-Gen-4B,232,224,5,8,0.511727078891258,0.5087719298245614,0.9789029535864979
grpo_Qwen3Guard-Gen-4B,213,66,31,160,0.7936170212765957,0.7634408602150538,0.8729508196721312
Llama-Guard-3-8B,0,0,0,0,0.0,0.0,0.0
sft_Llama-Guard-3-8B,238,215,1,15,0.5394456289978679,0.5253863134657837,0.99581589958159
grpo_Llama-Guard-3-8B,193,111,13,151,0.7350427350427351,0.6348684210526315,0.9368932038834952
grpo_Llama3.1-8B-Instruct,232,84,12,142,0.7957446808510639,0.7341772151898734,0.9508196721311475
sft_Llama3.1-8B-Instruct,220,251,0,0,0.46709129511677283,0.46709129511677283,1.0
sft_Qwen3-4B-Instruct,231,216,9,14,0.5212765957446809,0.5167785234899329,0.9625
grpo_Qwen3-4B-Instruct,190,70,68,140,0.7051282051282052,0.7307692307692307,0.7364341085271318
