Model,Risk_Type,TP,FN
Qwen3-4B-Instruct,Denial-of-Service,1,29
Qwen3-4B-Instruct,Log Explosion Attacks,0,22
Qwen3-4B-Instruct,Covert Channel Attack,0,24
Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,0,24
Qwen3-4B-Instruct,Sensitive Data Exfiltration,1,16
Qwen3-4B-Instruct,Malicious Code Execution,1,20
Qwen3-4B-Instruct,Persistence via Backdoor Implantation,0,21
Qwen3-4B-Instruct,Cache or Local State Pollution,0,26
Qwen3-4B-Instruct,Privilege Escalation,5,16
Llama3.1-8B-Instruct,Covert Channel Attack,0,25
Llama3.1-8B-Instruct,Privilege Escalation,7,26
Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,1,25
Llama3.1-8B-Instruct,Malicious Code Execution,1,23
Llama3.1-8B-Instruct,Sensitive Data Exfiltration,6,22
Llama3.1-8B-Instruct,Cache or Local State Pollution,3,17
Llama3.1-8B-Instruct,Log Explosion Attacks,2,21
Llama3.1-8B-Instruct,Denial-of-Service,1,19
Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,2,27
DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,2,19
DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,7,27
DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,2,25
DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,2,16
DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,3,17
DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,4,18
DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,4,16
DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,1,30
DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,6,17
sft_DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,18,2
sft_DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,13,13
sft_DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,35,3
sft_DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,27,2
sft_DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,12,7
sft_DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,17,5
sft_DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,17,5
sft_DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,21,0
sft_DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,20,6
grpo_DeepSeek-R1-0528-Qwen3-8B,Log Explosion Attacks,32,3
grpo_DeepSeek-R1-0528-Qwen3-8B,Malicious Code Execution,24,6
grpo_DeepSeek-R1-0528-Qwen3-8B,Denial-of-Service,23,1
grpo_DeepSeek-R1-0528-Qwen3-8B,Persistence via Backdoor Implantation,13,10
grpo_DeepSeek-R1-0528-Qwen3-8B,Privilege Escalation,24,4
grpo_DeepSeek-R1-0528-Qwen3-8B,Sensitive Data Exfiltration,23,4
grpo_DeepSeek-R1-0528-Qwen3-8B,Delayed or Timed Trigger Attacks,26,2
grpo_DeepSeek-R1-0528-Qwen3-8B,Covert Channel Attack,23,4
grpo_DeepSeek-R1-0528-Qwen3-8B,Cache or Local State Pollution,24,1
Qwen3-4B-Thinking-2507,Persistence via Backdoor Implantation,11,15
Qwen3-4B-Thinking-2507,Denial-of-Service,9,14
Qwen3-4B-Thinking-2507,Delayed or Timed Trigger Attacks,0,27
Qwen3-4B-Thinking-2507,Malicious Code Execution,2,23
Qwen3-4B-Thinking-2507,Sensitive Data Exfiltration,9,11
Qwen3-4B-Thinking-2507,Cache or Local State Pollution,4,23
Qwen3-4B-Thinking-2507,Log Explosion Attacks,4,10
Qwen3-4B-Thinking-2507,Privilege Escalation,10,13
Qwen3-4B-Thinking-2507,Covert Channel Attack,7,22
sft_Qwen3-4B-Thinking-2507,Cache or Local State Pollution,0,28
sft_Qwen3-4B-Thinking-2507,Sensitive Data Exfiltration,0,23
sft_Qwen3-4B-Thinking-2507,Denial-of-Service,0,14
sft_Qwen3-4B-Thinking-2507,Malicious Code Execution,0,25
sft_Qwen3-4B-Thinking-2507,Log Explosion Attacks,0,17
sft_Qwen3-4B-Thinking-2507,Persistence via Backdoor Implantation,0,22
sft_Qwen3-4B-Thinking-2507,Covert Channel Attack,0,23
sft_Qwen3-4B-Thinking-2507,Delayed or Timed Trigger Attacks,0,30
sft_Qwen3-4B-Thinking-2507,Privilege Escalation,0,30
grpo_Qwen3-4B-Thinking-2507,Persistence via Backdoor Implantation,12,4
grpo_Qwen3-4B-Thinking-2507,Log Explosion Attacks,30,1
grpo_Qwen3-4B-Thinking-2507,Malicious Code Execution,15,14
grpo_Qwen3-4B-Thinking-2507,Covert Channel Attack,20,4
grpo_Qwen3-4B-Thinking-2507,Delayed or Timed Trigger Attacks,19,5
grpo_Qwen3-4B-Thinking-2507,Denial-of-Service,17,4
grpo_Qwen3-4B-Thinking-2507,Privilege Escalation,21,3
grpo_Qwen3-4B-Thinking-2507,Cache or Local State Pollution,23,2
grpo_Qwen3-4B-Thinking-2507,Sensitive Data Exfiltration,28,1
Qwen3Guard-Gen-4B,Delayed or Timed Trigger Attacks,0,16
Qwen3Guard-Gen-4B,Covert Channel Attack,1,23
Qwen3Guard-Gen-4B,Denial-of-Service,0,35
Qwen3Guard-Gen-4B,Log Explosion Attacks,0,15
Qwen3Guard-Gen-4B,Persistence via Backdoor Implantation,0,21
Qwen3Guard-Gen-4B,Privilege Escalation,1,21
Qwen3Guard-Gen-4B,Malicious Code Execution,2,12
Qwen3Guard-Gen-4B,Sensitive Data Exfiltration,0,19
Qwen3Guard-Gen-4B,Cache or Local State Pollution,0,21
sft_Qwen3Guard-Gen-4B,Covert Channel Attack,11,12
sft_Qwen3Guard-Gen-4B,Denial-of-Service,32,5
sft_Qwen3Guard-Gen-4B,Cache or Local State Pollution,21,3
