Model,total_dialogs_cognitive,correct_refusals,missed_refusals,total_dialogs_mislead,baseline,desc,name,both,unknown
Qwen2.5-7B-Instruct,509,23,486,391,193,79,53,66,0
gpt-4o,510,348,162,481,191,135,71,84,0
gpt-5,510,466,44,485,308,91,23,63,0
deepseek-v3,510,418,92,473,232,108,33,100,0
Qwen2.5-7B-Instruct_SFT,510,0,510,478,261,79,65,73,0
Qwen2.5-7B-Instruct_DPO,510,0,510,482,295,87,51,49,0
gemini-2.5,509,434,75,481,310,77,17,77,0
qwen3-235b,508,129,379,421,324,74,1,22,0
claude-3.5,510,390,120,485,319,139,4,23,0
doubao-1.5,509,108,401,481,408,56,13,4,0
