Model,TP,FP,FN,TN,Valid_Count,Accuracy,Precision,Recall
claude-3-7-sonnet-20250219,180,83,91,117,471,0.63,0.68,0.66
deepseek-r1,155,54,99,163,471,0.68,0.74,0.61
doubao-1-5-pro-32k-250115,148,3,124,195,470,0.73,0.98,0.54
gemini-2.5-pro,224,92,34,119,469,0.73,0.71,0.87
glm-4.5v,87,5,146,227,465,0.68,0.95,0.37
gpt-4o,103,8,161,193,465,0.64,0.93,0.39
gpt-5-2025-08-07,202,51,67,149,469,0.75,0.80,0.75
grok-4,243,205,0,23,471,0.56,0.54,1.00
kimi-k2-0711-preview,153,30,106,181,470,0.71,0.84,0.59
o3-2025-04-16,187,87,59,135,468,0.69,0.68,0.76
