Model,Risk_Type,TP,FP,FN
Qwen3-4B-Instruct,Privilege Escalation,4,0,20
Qwen3-4B-Instruct,Denial-of-Service,0,0,22
Qwen3-4B-Instruct,Cache or Local State Pollution,0,0,23
Qwen3-4B-Instruct,Covert Channel Attack,3,13,21
Qwen3-4B-Instruct,Malicious Code Execution,0,2,21
Qwen3-4B-Instruct,Persistence via Backdoor Implantation,0,0,30
Qwen3-4B-Instruct,Log Explosion Attacks,2,0,25
Qwen3-4B-Instruct,Sensitive Data Exfiltration,5,5,22
Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,0,0,23
sft_Qwen3-4B-Instruct,Cache or Local State Pollution,25,14,6
sft_Qwen3-4B-Instruct,Sensitive Data Exfiltration,16,18,4
sft_Qwen3-4B-Instruct,Malicious Code Execution,17,17,8
sft_Qwen3-4B-Instruct,Covert Channel Attack,10,31,14
sft_Qwen3-4B-Instruct,Privilege Escalation,20,10,9
sft_Qwen3-4B-Instruct,Denial-of-Service,24,5,14
sft_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,16,37,11
sft_Qwen3-4B-Instruct,Log Explosion Attacks,15,17,11
sft_Qwen3-4B-Instruct,Persistence via Backdoor Implantation,24,13,8
grpo_Qwen3-4B-Instruct,Privilege Escalation,21,16,7
grpo_Qwen3-4B-Instruct,Delayed or Timed Trigger Attacks,7,2,17
grpo_Qwen3-4B-Instruct,Cache or Local State Pollution,32,22,0
grpo_Qwen3-4B-Instruct,Log Explosion Attacks,17,35,1
grpo_Qwen3-4B-Instruct,Persistence via Backdoor Implantation,20,5,6
grpo_Qwen3-4B-Instruct,Malicious Code Execution,26,41,3
grpo_Qwen3-4B-Instruct,Denial-of-Service,24,18,4
grpo_Qwen3-4B-Instruct,Covert Channel Attack,16,47,6
grpo_Qwen3-4B-Instruct,Sensitive Data Exfiltration,28,44,0
Llama3.1-8B-Instruct,Denial-of-Service,2,4,18
Llama3.1-8B-Instruct,Malicious Code Execution,0,1,32
Llama3.1-8B-Instruct,Log Explosion Attacks,2,2,15
Llama3.1-8B-Instruct,Privilege Escalation,5,7,19
Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,3,9,22
Llama3.1-8B-Instruct,Cache or Local State Pollution,2,0,26
Llama3.1-8B-Instruct,Sensitive Data Exfiltration,9,17,21
Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,0,1,24
Llama3.1-8B-Instruct,Covert Channel Attack,1,10,29
sft_Llama3.1-8B-Instruct,Malicious Code Execution,14,4,8
sft_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,12,2,16
sft_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,13,11,9
sft_Llama3.1-8B-Instruct,Cache or Local State Pollution,18,8,9
sft_Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,17,22,10
sft_Llama3.1-8B-Instruct,Log Explosion Attacks,16,1,13
sft_Llama3.1-8B-Instruct,Denial-of-Service,28,3,5
sft_Llama3.1-8B-Instruct,Covert Channel Attack,6,10,12
sft_Llama3.1-8B-Instruct,Privilege Escalation,27,3,5
grpo_Llama3.1-8B-Instruct,Persistence via Backdoor Implantation,22,10,9
grpo_Llama3.1-8B-Instruct,Delayed or Timed Trigger Attacks,14,8,13
grpo_Llama3.1-8B-Instruct,Sensitive Data Exfiltration,25,9,9
grpo_Llama3.1-8B-Instruct,Malicious Code Execution,17,12,7
